#  Steps           Rx_A           Rx_B           Epot           Temp           Ekin           Etot
    1150      -0.000000     -18.618800  -12731.642893       0.061394     184.182393  -12547.460500
    1160      -0.000000     -18.606800  -12732.181922       0.061574     184.721410  -12547.460512
    1170      -0.000000     -18.594800  -12732.691829       0.061744     185.231300  -12547.460529
    1180      -0.000000     -18.582800  -12733.156428       0.061899     185.695898  -12547.460529
    1190      -0.000000     -18.570800  -12733.563032       0.062034     186.102490  -12547.460542
    1200      -0.000000     -18.558800  -12733.899087       0.062146     186.438566  -12547.460521
    1210      -0.000000     -18.546800  -12734.155192       0.062232     186.694671  -12547.460521
    1220      -0.000000     -18.534800  -12734.323101       0.062288     186.862576  -12547.460525
    1230      -0.000000     -18.522800  -12734.397738       0.062312     186.937206  -12547.460532
    1240      -0.000000     -18.510800  -12734.376318       0.062305     186.915786  -12547.460532
    1250      -0.000000     -18.498800  -12734.257268       0.062266     186.796747  -12547.460522
    1260      -0.000000     -18.486800  -12734.043090       0.062194     186.582576  -12547.460514
    1270      -0.000000     -18.474800  -12733.737741       0.062092     186.277239  -12547.460502
    1280      -0.000000     -18.462800  -12733.349555       0.061963     185.889045  -12547.460510
    1290      -0.000000     -18.450800  -12732.893836       0.061811     185.433325  -12547.460511
    1300      -0.000000     -18.438800  -12732.386460       0.061642     184.925963  -12547.460498
    1310      -0.000000     -18.426800  -12731.843650       0.061461     184.383156  -12547.460494
    1320      -0.000000     -18.414800  -12731.282506       0.061274     183.822027  -12547.460479
    1330      -0.000000     -18.402800  -12730.723028       0.061088     183.262566  -12547.460462
    1340      -0.000000     -18.390800  -12730.187496       0.060909     182.727045  -12547.460451
    1350      -0.000000     -18.378800  -12729.695653       0.060745     182.235207  -12547.460446
    1360      -0.000000     -18.366800  -12729.262539       0.060601     181.802101  -12547.460438
    1370      -0.000000     -18.354800  -12728.900476       0.060480     181.440039  -12547.460437
    1380      -0.000000     -18.342800  -12728.621883       0.060387     181.161454  -12547.460429
    1390      -0.000000     -18.330800  -12728.438097       0.060326     180.977670  -12547.460427
    1400      -0.000000     -18.318800  -12728.355721       0.060298     180.895296  -12547.460425
    1410      -0.000000     -18.306800  -12728.375468       0.060305     180.915042  -12547.460425
    1420      -0.000000     -18.294800  -12728.494835       0.060345     181.034407  -12547.460428
    1430      -0.000000     -18.282800  -12728.710052       0.060417     181.249620  -12547.460432
    1440      -0.000000     -18.270800  -12729.015321       0.060518     181.554883  -12547.460438
    1450      -0.000000     -18.258800  -12729.401125       0.060647     181.940681  -12547.460445
    1460      -0.000000     -18.246800  -12729.854091       0.060798     182.393642  -12547.460449
    1470      -0.000000     -18.234800  -12730.357659       0.060966     182.897202  -12547.460457
    1480      -0.000000     -18.222800  -12730.893483       0.061144     183.433006  -12547.460477
    1490      -0.000000     -18.210800  -12731.442328       0.061327     183.981836  -12547.460491
    1500      -0.000000     -18.198800  -12731.985791       0.061508     184.525297  -12547.460494
    1510      -0.000000     -18.186800  -12732.507182       0.061682     185.046675  -12547.460507
    1520      -0.000000     -18.174800  -12732.990100       0.061843     185.529587  -12547.460513
    1530      -0.000000     -18.162800  -12733.418215       0.061986     185.957703  -12547.460512
    1540      -0.000000     -18.150800  -12733.778169       0.062106     186.317666  -12547.460503
    1550      -0.000000     -18.138800  -12734.058681       0.062199     186.598167  -12547.460514
    1560      -0.000000     -18.126800  -12734.250173       0.062263     186.789657  -12547.460516
    1570      -0.000000     -18.114800  -12734.347416       0.062296     186.886890  -12547.460525
    1580      -0.000000     -18.102800  -12734.347924       0.062296     186.887419  -12547.460506
    1590      -0.000000     -18.090800  -12734.255396       0.062265     186.794868  -12547.460528
    1600      -0.000000     -18.078800  -12734.073491       0.062204     186.612962  -12547.460529
    1610      -0.000000     -18.066800  -12733.806188       0.062115     186.345650  -12547.460538
    1620      -0.000000     -18.054800  -12733.461791       0.062000     186.001265  -12547.460526
    1630      -0.000000     -18.042800  -12733.051074       0.061864     185.590566  -12547.460508
    1640      -0.000000     -18.030800  -12732.587857       0.061709     185.127358  -12547.460499
    1650      -0.000000     -18.018800  -12732.087162       0.061542     184.626680  -12547.460482
    1660      -0.000000     -18.006800  -12731.563143       0.061368     184.102676  -12547.460467
    1670      -0.000000     -17.994800  -12731.031462       0.061190     183.571040  -12547.460422
    1680      -0.000000     -17.982800  -12730.508610       0.061016     183.048198  -12547.460412
    1690      -0.000000     -17.970800  -12730.012312       0.060851     182.551942  -12547.460370
    1700      -0.000000     -17.958800  -12729.558874       0.060699     182.098497  -12547.460377
    1710      -0.000000     -17.946800  -12729.161680       0.060567     181.701301  -12547.460379
    1720      -0.000000     -17.934800  -12728.830884       0.060457     181.370507  -12547.460377
    1730      -0.000000     -17.922800  -12728.575381       0.060372     181.115005  -12547.460376
    1740      -0.000000     -17.910800  -12728.402553       0.060314     180.942183  -12547.460369
    1750      -0.000000     -17.898800  -12728.317452       0.060286     180.857086  -12547.460365
    1760      -0.000000     -17.886800  -12728.322828       0.060287     180.862464  -12547.460364
    1770      -0.000000     -17.874800  -12728.418657       0.060319     180.958290  -12547.460367
    1780      -0.000000     -17.862800  -12728.601944       0.060381     181.141573  -12547.460371
    1790      -0.000000     -17.850800  -12728.865644       0.060468     181.405263  -12547.460381
    1800      -0.000000     -17.838800  -12729.199687       0.060580     181.739301  -12547.460386
    1810      -0.000000     -17.826800  -12729.592631       0.060711     182.132240  -12547.460391
    1820      -0.000000     -17.814800  -12730.034021       0.060858     182.573622  -12547.460399
    1830      -0.000000     -17.802800  -12730.513506       0.061018     183.053104  -12547.460402
    1840      -0.000000     -17.790800  -12731.019894       0.061186     183.559478  -12547.460416
    1850      -0.000000     -17.778800  -12731.536369       0.061359     184.075931  -12547.460438
    1860      -0.000000     -17.766800  -12732.043682       0.061528     184.583243  -12547.460439
    1870      -0.000000     -17.754800  -12732.525696       0.061688     185.065254  -12547.460442
    1880      -0.000000     -17.742800  -12732.970051       0.061837     185.509612  -12547.460440
    1890      -0.000000     -17.730800  -12733.365915       0.061968     185.905450  -12547.460464
    1900      -0.000000     -17.718800  -12733.700416       0.062080     186.239923  -12547.460493
    1910      -0.000000     -17.706800  -12733.961023       0.062167     186.500552  -12547.460471
    1920      -0.000000     -17.694800  -12734.138332       0.062226     186.677878  -12547.460455
    1930      -0.000000     -17.682800  -12734.223795       0.062254     186.763334  -12547.460462
    1940      -0.000000     -17.670800  -12734.216323       0.062252     186.755858  -12547.460466
    1950      -0.000000     -17.658800  -12734.116431       0.062219     186.655974  -12547.460456
    1960      -0.000000     -17.646800  -12733.926976       0.062156     186.466509  -12547.460467
    1970      -0.000000     -17.634800  -12733.653085       0.062064     186.192628  -12547.460457
    1980      -0.000000     -17.622800  -12733.301928       0.061947     185.841472  -12547.460456
    1990      -0.000000     -17.610800  -12732.883453       0.061808     185.423010  -12547.460443
    2000      -0.000000     -17.598800  -12732.411456       0.061650     184.951023  -12547.460433
    2010      -0.000000     -17.586800  -12731.902716       0.061481     184.442298  -12547.460419
    2020      -0.000000     -17.574800  -12731.374305       0.061305     183.913897  -12547.460408
    2030      -0.000000     -17.562800  -12730.843342       0.061128     183.382945  -12547.460397
    2040      -0.000000     -17.550800  -12730.327590       0.060956     182.867203  -12547.460386
    2050      -0.000000     -17.538800  -12729.845538       0.060795     182.385164  -12547.460374
    2060      -0.000000     -17.526800  -12729.414891       0.060652     181.954530  -12547.460361
    2070      -0.000000     -17.514800  -12729.051047       0.060530     181.590693  -12547.460354
    2080      -0.000000     -17.502800  -12728.766071       0.060435     181.305725  -12547.460346
    2090      -0.000000     -17.490800  -12728.569998       0.060370     181.109654  -12547.460344
    2100      -0.000000     -17.478800  -12728.470693       0.060337     181.010352  -12547.460341
    2110      -0.000000     -17.466800  -12728.472715       0.060337     181.012373  -12547.460342
    2120      -0.000000     -17.454800  -12728.576621       0.060372     181.116276  -12547.460345
    2130      -0.000000     -17.442800  -12728.778879       0.060440     181.318529  -12547.460350
    2140      -0.000000     -17.430800  -12729.072110       0.060537     181.611750  -12547.460360
    2150      -0.000000     -17.418800  -12729.444758       0.060661     181.984393  -12547.460365
    2160      -0.000000     -17.406800  -12729.882997       0.060808     182.422624  -12547.460373
    2170      -0.000000     -17.394800  -12730.373070       0.060971     182.912689  -12547.460381
    2180      -0.000000     -17.382800  -12730.900159       0.061147     183.439769  -12547.460389
    2190      -0.000000     -17.370800  -12731.445433       0.061328     183.985036  -12547.460397
    2200      -0.000000     -17.358800  -12731.986884       0.061509     184.526482  -12547.460402
    2210      -0.000000     -17.346800  -12732.503450       0.061681     185.043032  -12547.460417
    2220      -0.000000     -17.334800  -12732.978758       0.061839     185.518329  -12547.460429
    2230      -0.000000     -17.322800  -12733.400875       0.061980     185.940442  -12547.460433
    2240      -0.000000     -17.310800  -12733.758705       0.062099     186.298260  -12547.460446
    2250      -0.000000     -17.298800  -12734.040858       0.062193     186.580398  -12547.460460
    2260      -0.000000     -17.286800  -12734.236225       0.062259     186.775782  -12547.460443
