#Cycle	Epot	P

 318	-13.673247	0.187545
 319	-11.635436	0.187579
 320	-10.792162	0.187572
 321	-12.995207	0.187512
 322	-8.728442	0.187657
 323	-6.301178	0.187692
 324	-9.745768	0.187482
 325	-11.646345	0.187410
 326	-10.390667	0.187495
 327	-12.540406	0.187490
 328	-13.111171	0.187657
 329	-11.003611	0.187794
 330	-12.095392	0.187632
 331	-10.830857	0.187687
 332	-12.428970	0.187553
 333	-8.849855	0.187775
 334	-14.910763	0.187428
 335	-10.337846	0.187643
 336	-11.668981	0.187483
 337	-10.438082	0.187470
 338	-9.906332	0.187426
 339	-9.550380	0.187555
 340	-11.338734	0.187628
 341	-11.567452	0.187675
 342	-13.245253	0.187645
 343	-13.709500	0.187540
 344	-11.153375	0.187574
 345	-11.308092	0.187643
 346	-10.016448	0.187570
 347	-8.759415	0.187691
 348	-9.478154	0.187638
 349	-12.911351	0.187524
 350	-14.096951	0.187455
 351	-11.237405	0.187516
 352	-10.973701	0.187447
 353	-13.986240	0.187388
 354	-11.443195	0.187508
 355	-7.068489	0.187680
 356	-11.151868	0.187550
 357	-13.952373	0.187385
 358	-13.568830	0.187383
 359	-12.769597	0.187377
 360	-14.096940	0.187571
 361	-10.581252	0.187630
 362	-7.152996	0.187799
 363	-7.027479	0.187778
 364	-7.677763	0.187720
 365	-12.181869	0.187446
 366	-11.848223	0.187478
 367	-11.275448	0.187382
 368	-10.504727	0.187473
 369	-11.803507	0.187441
 370	-13.309782	0.187458
 371	-12.841295	0.187456
 372	-12.161526	0.187390
 373	-11.443714	0.187398
 374	-12.028058	0.187535
 375	-7.524883	0.187712
 376	-8.994982	0.187576
 377	-10.971111	0.187528
 378	-11.886058	0.187579
 379	-10.988580	0.187586
 380	-12.005258	0.187464
 381	-11.384761	0.187574
 382	-13.840468	0.187458
 383	-15.262101	0.187443
 384	-16.717449	0.187377
 385	-13.519200	0.187613
 386	-15.017828	0.187604
 387	-13.037605	0.187548
 388	-14.141214	0.187378
 389	-14.962473	0.187390
 390	-8.234123	0.187769
 391	-7.164070	0.187695
 392	-8.676475	0.187479
 393	-13.535843	0.187327
 394	-14.932502	0.187396
 395	-14.531214	0.187361
 396	-12.272722	0.187707
 397	-13.716180	0.187567
 398	-11.614209	0.187583
 399	-10.161106	0.187858
 400	-14.912377	0.187672
 401	-13.993470	0.187549
 402	-13.816772	0.187552
 403	-13.537342	0.187512
 404	-14.712958	0.187465
 405	-10.397072	0.187621
 406	-4.423884	0.187737
 407	-6.233902	0.187707
 408	-13.582656	0.187553
 409	-12.727814	0.187671
 410	-14.075279	0.187481
 411	-14.226981	0.187499
 412	-12.501608	0.187527
 413	-15.411194	0.187463
 414	-15.835116	0.187412
 415	-14.567278	0.187459
 416	-12.541455	0.187608
 417	-9.438556	0.187667
 418	-6.543602	0.187678
 419	-7.195705	0.187705
 420	-4.736527	0.187900
 421	-5.636548	0.187856
 422	-11.910671	0.187517
 423	-13.148700	0.187505
 424	-14.057195	0.187431
 425	-12.628350	0.187614
 426	-8.745785	0.187840
 427	-10.899248	0.187642
 428	-12.894914	0.187637
 429	-14.303108	0.187667
 430	-12.379782	0.187604
 431	-8.800114	0.187539
 432	-6.602892	0.187581
 433	-7.722793	0.187500
 434	-7.286234	0.187377
 435	-8.791640	0.187393
 436	-12.917299	0.187503
 437	-9.322546	0.187556
 438	-7.493039	0.187542
 439	-8.307998	0.187449
 440	-10.080545	0.187412
 441	-10.587465	0.187403
 442	-4.267648	0.187851
 443	-6.566568	0.187669
 444	-10.797304	0.187446
 445	-8.473879	0.187549
 446	-9.401292	0.187516
 447	-10.385255	0.187531
 448	-8.763003	0.187665
 449	-10.179080	0.187501
 450	-9.986480	0.187512
 451	-5.594667	0.187702
 452	-0.875090	0.187942
 453	-10.624923	0.187483
 454	-6.393944	0.187703
 455	-11.400222	0.187502
 456	-12.550068	0.187502
 457	-15.527066	0.187504
 458	-15.025917	0.187513
 459	-12.586962	0.187553
 460	-10.666250	0.187537
 461	-10.109919	0.187420
 462	-9.685671	0.187428
 463	-7.570712	0.187710
 464	-12.592557	0.187476
 465	-11.846701	0.187507
 466	-7.046979	0.187575
 467	-9.687913	0.187503
 468	-10.534908	0.187445
 469	-10.853440	0.187425
 470	-10.673298	0.187466
 471	-11.462543	0.187439
 472	-11.564119	0.187510
 473	-11.423062	0.187471
 474	-9.255967	0.187415
 475	-5.604587	0.187660
 476	-8.118456	0.187483
 477	-8.326457	0.187453
 478	-7.904629	0.187553
 479	-5.186769	0.187664
 480	-6.256818	0.187671
 481	-6.677460	0.187599
 482	-8.560942	0.187603
 483	-7.620141	0.187560
 484	-8.663025	0.187499
 485	-7.830078	0.187585
 486	-7.020070	0.187627
 487	-10.271431	0.187501
 488	-11.213609	0.187450
 489	-6.843873	0.187745
 490	-7.651988	0.187650
 491	-9.259422	0.187558
 492	-8.514924	0.187448
 493	-10.071053	0.187391
 494	-10.721563	0.187397
 495	-10.905947	0.187472
 496	-11.120505	0.187521
 497	-7.901621	0.187624
 498	-6.300692	0.187661
 499	-10.268640	0.187514
 500	-10.885272	0.187526
 501	-8.083093	0.187809
 502	-15.612503	0.187531
 503	-14.279439	0.187651
 504	-11.632292	0.187931
 505	-10.903867	0.187908
 506	-10.794429	0.187804
 507	-10.119879	0.187787
 508	-9.497809	0.187771
 509	-7.809439	0.187831
 510	-6.814260	0.187915
 511	-13.388051	0.187557
 512	-15.237574	0.187494
 513	-15.393445	0.187550
 514	-16.731247	0.187553
 515	-15.023241	0.187596
 516	-15.339952	0.187625
 517	-11.329756	0.187626
 518	-11.744003	0.187564
 519	-12.699421	0.187432
 520	-10.325632	0.187453
 521	-10.050516	0.187536
 522	-8.072474	0.187645
 523	-8.881583	0.187683
 524	-9.567191	0.187424
 525	-9.420753	0.187414
 526	-9.952691	0.187378
 527	-9.142981	0.187396
 528	-9.642111	0.187462
 529	-10.116321	0.187556
 530	-8.713828	0.187492
 531	-10.274208	0.187408
 532	-7.409163	0.187525
 533	-8.769498	0.187440
 534	-8.312591	0.187468
 535	-10.381784	0.187572
 536	-9.954694	0.187506
 537	-10.553373	0.187430
 538	-10.287128	0.187383
 539	-12.490927	0.187399
 540	-11.927942	0.187456
 541	-8.825025	0.187638
 542	-8.756217	0.187713
 543	-12.208361	0.187576
 544	-13.332137	0.187446
 545	-9.642286	0.187438
 546	-8.721600	0.187543
 547	-9.634488	0.187458
 548	-8.844077	0.187526
 549	-8.749548	0.187577
 550	-13.130682	0.187571
 551	-12.785137	0.187562
 552	-13.098297	0.187522
 553	-12.737403	0.187504
 554	-12.496733	0.187619
 555	-12.353647	0.187488
 556	-11.344918	0.187426
 557	-11.625959	0.187444
 558	-12.368719	0.187419
 559	-12.334337	0.187476
 560	-13.825286	0.187470
 561	-11.870032	0.187419
 562	-11.335731	0.187475
 563	-11.173070	0.187425
 564	-10.908432	0.187496
 565	-11.318548	0.187585
 566	-8.322100	0.187574
 567	-9.676803	0.187400
 568	-8.280056	0.187398
 569	-9.414757	0.187389
 570	-9.509728	0.187434
 571	-8.709556	0.187512
 572	-9.723562	0.187455
 573	-6.531020	0.187756
 574	-2.236400	0.187970
 575	-4.725786	0.187967
 576	-5.718444	0.187805
 577	-7.744623	0.187702
 578	-8.814718	0.187680
 579	-9.707433	0.187632
 580	-9.004739	0.187571
 581	-10.258744	0.187441
 582	-11.459339	0.187373
 583	-12.186465	0.187439
 584	-9.384967	0.187625
 585	-9.316454	0.187530
 586	-10.345700	0.187445
 587	-10.639954	0.187399
 588	-8.736340	0.187418
 589	-8.087916	0.187585
 590	-10.089708	0.187503
 591	-8.709616	0.187543
 592	-11.643957	0.187561
 593	-11.786203	0.187711
 594	-14.386947	0.187547
 595	-15.247166	0.187390
 596	-12.436518	0.187605
 597	-8.709899	0.187777
 598	-10.731162	0.187673
 599	-10.891888	0.187637
 600	-13.406582	0.187567
 601	-10.650296	0.187619
 602	-10.589282	0.187632
 603	-13.046603	0.187503
 604	-15.598525	0.187430
 605	-15.132191	0.187427
 606	-12.980589	0.187525
 607	-6.916441	0.187933
 608	-5.145371	0.188034
 609	-6.960237	0.187823
 610	-4.110081	0.187966
 611	-5.249654	0.187866
 612	-12.768016	0.187526
 613	-12.495866	0.187348
 614	-13.855044	0.187392
 615	-6.025607	0.187839
 616	-8.872520	0.187799
 617	-12.899276	0.187662
 618	-12.537159	0.187712
 619	-14.503886	0.187645
 620	-12.426068	0.187536
 621	-13.181298	0.187425
 622	-13.120802	0.187410
 623	-12.677023	0.187391
 624	-10.731518	0.187504
 625	-9.403928	0.187642
 626	-10.970886	0.187699
 627	-6.049412	0.187823
 628	-9.603193	0.187490
 629	-10.525970	0.187460
 630	-8.793973	0.187484
 631	-7.926264	0.187652
 632	-9.243420	0.187567
 633	-7.652234	0.187629
 634	-6.921931	0.187529
 635	-7.612683	0.187436
 636	-9.687549	0.187464
 637	-9.789094	0.187538
 638	-8.246534	0.187535
 639	-10.831626	0.187492
 640	-8.436844	0.187584
 641	-9.204342	0.187409
 642	-6.717313	0.187588
