#distance	             h	             g
6.125600	    101.000000	      1.157523
6.137950	     90.000000	      1.027310
6.150300	     96.000000	      1.091400
6.162650	    103.000000	      1.166293
6.175000	    110.000000	      1.240578
6.187350	    108.000000	      1.213165
6.199700	    112.000000	      1.253090
6.212050	    107.000000	      1.192393
6.224400	    101.000000	      1.121068
6.236750	     76.000000	      0.840238
6.249100	    106.000000	      1.167284
6.261450	    103.000000	      1.129777
6.273800	     97.000000	      1.059780
6.286150	    120.000000	      1.305922
6.298500	     95.000000	      1.029805
6.310850	     97.000000	      1.047373
6.323200	    113.000000	      1.215374
6.335550	    115.000000	      1.232068
6.347900	    111.000000	      1.184591
6.360250	    104.000000	      1.105581
6.372600	     99.000000	      1.048353
6.384950	    102.000000	      1.075946
6.397300	     97.000000	      1.019257
6.409650	    102.000000	      1.067670
6.422000	     82.000000	      0.855025
6.434350	    123.000000	      1.277619
6.446700	    105.000000	      1.086475
6.459050	     96.000000	      0.989554
6.471400	    103.000000	      1.057660
6.483750	    103.000000	      1.053635
6.496100	    114.000000	      1.161729
6.508450	    112.000000	      1.137021
6.520800	    108.000000	      1.092264
6.533150	     96.000000	      0.967234
6.545500	     98.000000	      0.983662
6.557850	     94.000000	      0.939962
6.570200	    131.000000	      1.305027
6.582550	    115.000000	      1.141340
6.594900	    115.000000	      1.137069
6.607250	    113.000000	      1.113121
6.619600	    102.000000	      1.001019
6.631950	    110.000000	      1.075513
6.644300	    104.000000	      1.013072
6.656650	    118.000000	      1.145186
6.669000	    100.000000	      0.966906
6.681350	    111.000000	      1.069301
6.693700	    111.000000	      1.065359
6.706050	    103.000000	      0.984939
6.718400	     92.000000	      0.876520
6.730750	     94.000000	      0.892291
6.743100	     98.000000	      0.926856
6.755450	     96.000000	      0.904624
6.767800	    120.000000	      1.126657
6.780150	    111.000000	      1.038365
6.792500	    126.000000	      1.174402
6.804850	    119.000000	      1.105135
6.817200	     81.000000	      0.749512
6.829550	    102.000000	      0.940419
6.841900	    112.000000	      1.028893
6.854250	    109.000000	      0.997728
6.866600	     98.000000	      0.893816
6.878950	    103.000000	      0.936049
6.891300	    119.000000	      1.077582
6.903650	    119.000000	      1.073730
6.916000	     91.000000	      0.818157
6.928350	    105.000000	      0.940665
6.940700	     91.000000	      0.812345
6.953050	     91.000000	      0.809461
6.965400	    100.000000	      0.886367
6.977750	    109.000000	      0.962723
6.990100	    109.000000	      0.959324
7.002450	    114.000000	      0.999793
7.014800	    103.000000	      0.900144
7.027150	    106.000000	      0.923109
7.039500	     94.000000	      0.815736
7.051850	    116.000000	      1.003130
7.064200	     94.000000	      0.810042
7.076550	    117.000000	      1.004727
7.088900	    129.000000	      1.103920
7.101250	    126.000000	      1.074500
7.113600	    114.000000	      0.968794
7.125950	    122.000000	      1.033189
