#distance	             h	             g
1.136200	      0.000000	      0.000000
1.148550	      0.000000	      0.000000
1.160900	      0.000000	      0.000000
1.173250	      0.000000	      0.000000
1.185600	      0.000000	      0.000000
1.197950	      0.000000	      0.000000
1.210300	      0.000000	      0.000000
1.222650	      0.000000	      0.000000
1.235000	      0.000000	      0.000000
1.247350	      0.000000	      0.000000
1.259700	      0.000000	      0.000000
1.272050	      0.000000	      0.000000
1.284400	      0.000000	      0.000000
1.296750	      0.000000	      0.000000
1.309100	      0.000000	      0.000000
1.321450	      0.000000	      0.000000
1.333800	      0.000000	      0.000000
1.346150	      0.000000	      0.000000
1.358500	      0.000000	      0.000000
1.370850	      2.000000	      0.000103
1.383200	      2.000000	      0.000101
1.395550	      2.000000	      0.000099
1.407900	      0.000000	      0.000000
1.420250	     10.000000	      0.000478
1.432600	      6.000000	      0.000282
1.444950	     12.000000	      0.000554
1.457300	     14.000000	      0.000635
1.469650	     22.000000	      0.000982
1.482000	     34.000000	      0.001492
1.494350	     38.000000	      0.001640
1.506700	     32.000000	      0.001358
1.519050	     44.000000	      0.001837
1.531400	     38.000000	      0.001561
1.543750	     74.000000	      0.002991
1.556100	     76.000000	      0.003023
1.568450	    116.000000	      0.004542
1.580800	     86.000000	      0.003315
1.593150	     80.000000	      0.003036
1.605500	    108.000000	      0.004035
1.617850	    106.000000	      0.003900
1.630200	    108.000000	      0.003913
1.642550	     88.000000	      0.003141
1.654900	     80.000000	      0.002812
1.667250	    108.000000	      0.003741
1.679600	     68.000000	      0.002321
1.691950	     86.000000	      0.002892
1.704300	     64.000000	      0.002121
1.716650	     80.000000	      0.002613
1.729000	     96.000000	      0.003091
1.741350	     38.000000	      0.001206
1.753700	     74.000000	      0.002316
1.766050	     50.000000	      0.001543
1.778400	     46.000000	      0.001400
1.790750	     40.000000	      0.001200
1.803100	     52.000000	      0.001539
1.815450	     36.000000	      0.001051
1.827800	     38.000000	      0.001094
1.840150	     32.000000	      0.000909
1.852500	     22.000000	      0.000617
1.864850	     20.000000	      0.000553
1.877200	     12.000000	      0.000328
1.889550	     20.000000	      0.000539
1.901900	     18.000000	      0.000479
1.914250	     24.000000	      0.000630
1.926600	     22.000000	      0.000570
1.938950	     12.000000	      0.000307
1.951300	     12.000000	      0.000303
1.963650	     20.000000	      0.000499
1.976000	     14.000000	      0.000345
1.988350	      8.000000	      0.000195
2.000700	     12.000000	      0.000288
2.013050	     16.000000	      0.000380
2.025400	      8.000000	      0.000188
2.037750	      6.000000	      0.000139
2.050100	      2.000000	      0.000046
2.062450	      8.000000	      0.000181
2.074800	      6.000000	      0.000134
2.087150	      2.000000	      0.000044
2.099500	      8.000000	      0.000174
2.111850	      4.000000	      0.000086
2.124200	      6.000000	      0.000128
2.136550	      6.000000	      0.000126
2.148900	      8.000000	      0.000167
2.161250	     12.000000	      0.000247
2.173600	      8.000000	      0.000163
2.185950	      6.000000	      0.000121
2.198300	     10.000000	      0.000199
2.210650	      6.000000	      0.000118
2.223000	     16.000000	      0.000311
2.235350	     10.000000	      0.000192
2.247700	     12.000000	      0.000228
2.260050	     18.000000	      0.000339
2.272400	     10.000000	      0.000186
2.284750	     18.000000	      0.000331
2.297100	     36.000000	      0.000655
2.309450	     12.000000	      0.000216
2.321800	     28.000000	      0.000499
2.334150	     30.000000	      0.000529
2.346500	     26.000000	      0.000454
2.358850	     58.000000	      0.001001
2.371200	     26.000000	      0.000444
2.383550	     30.000000	      0.000507
2.395900	     28.000000	      0.000469
2.408250	     40.000000	      0.000662
2.420600	     38.000000	      0.000623
2.432950	     62.000000	      0.001006
2.445300	     58.000000	      0.000932
2.457650	     54.000000	      0.000859
2.470000	     42.000000	      0.000661
2.482350	     34.000000	      0.000530
2.494700	     48.000000	      0.000741
2.507050	     70.000000	      0.001070
2.519400	     48.000000	      0.000726
2.531750	     64.000000	      0.000959
2.544100	     56.000000	      0.000831
2.556450	     52.000000	      0.000764
2.568800	     96.000000	      0.001397
2.581150	     72.000000	      0.001038
2.593500	     68.000000	      0.000971
2.605850	     58.000000	      0.000820
2.618200	     78.000000	      0.001093
2.630550	     84.000000	      0.001166
2.642900	     72.000000	      0.000990
2.655250	     68.000000	      0.000926
2.667600	     88.000000	      0.001187
2.679950	     70.000000	      0.000936
2.692300	     78.000000	      0.001033
2.704650	     96.000000	      0.001260
2.717000	     84.000000	      0.001092
2.729350	     90.000000	      0.001160
2.741700	     88.000000	      0.001124
2.754050	     76.000000	      0.000962
2.766400	     72.000000	      0.000903
2.778750	     74.000000	      0.000920
2.791100	     82.000000	      0.001010
2.803450	     84.000000	      0.001026
2.815800	    106.000000	      0.001283
2.828150	     62.000000	      0.000744
2.840500	     88.000000	      0.001047
2.852850	    102.000000	      0.001203
2.865200	     92.000000	      0.001076
2.877550	     84.000000	      0.000974
2.889900	     62.000000	      0.000712
2.902250	     74.000000	      0.000843
2.914600	     78.000000	      0.000881
2.926950	     74.000000	      0.000829
2.939300	     76.000000	      0.000844
2.951650	     78.000000	      0.000859
2.964000	     86.000000	      0.000939
2.976350	     46.000000	      0.000498
2.988700	     76.000000	      0.000816
3.001050	     62.000000	      0.000661
3.013400	     60.000000	      0.000634
3.025750	     84.000000	      0.000880
3.038100	     98.000000	      0.001019
3.050450	     72.000000	      0.000742
3.062800	     90.000000	      0.000921
3.075150	     70.000000	      0.000710
3.087500	     74.000000	      0.000745
3.099850	     62.000000	      0.000619
3.112200	     98.000000	      0.000971
3.124550	     62.000000	      0.000609
3.136900	     86.000000	      0.000838
3.149250	     78.000000	      0.000755
3.161600	     84.000000	      0.000806
3.173950	     66.000000	      0.000629
3.186300	     74.000000	      0.000699
3.198650	     78.000000	      0.000731
3.211000	    110.000000	      0.001023
3.223350	     82.000000	      0.000757
3.235700	     68.000000	      0.000623
3.248050	     68.000000	      0.000618
3.260400	     90.000000	      0.000812
3.272750	     62.000000	      0.000555
3.285100	     74.000000	      0.000658
3.297450	     62.000000	      0.000547
3.309800	     78.000000	      0.000683
3.322150	     74.000000	      0.000643
3.334500	     80.000000	      0.000690
3.346850	     72.000000	      0.000617
3.359200	     62.000000	      0.000527
3.371550	     66.000000	      0.000557
3.383900	     68.000000	      0.000570
3.396250	     82.000000	      0.000682
3.408600	     78.000000	      0.000644
3.420950	     60.000000	      0.000492
3.433300	     72.000000	      0.000586
3.445650	     78.000000	      0.000630
3.458000	     60.000000	      0.000481
3.470350	     80.000000	      0.000637
3.482700	     82.000000	      0.000648
3.495050	     74.000000	      0.000581
3.507400	     82.000000	      0.000639
3.519750	    104.000000	      0.000805
3.532100	     62.000000	      0.000477
3.544450	     96.000000	      0.000733
3.556800	     82.000000	      0.000622
3.569150	     90.000000	      0.000678
3.581500	    104.000000	      0.000777
3.593850	     96.000000	      0.000713
3.606200	     84.000000	      0.000619
3.618550	     78.000000	      0.000571
3.630900	     74.000000	      0.000538
3.643250	    116.000000	      0.000838
3.655600	    114.000000	      0.000818
3.667950	    116.000000	      0.000827
3.680300	    124.000000	      0.000878
3.692650	     88.000000	      0.000619
3.705000	     98.000000	      0.000685
3.717350	    118.000000	      0.000819
3.729700	     88.000000	      0.000607
3.742050	     98.000000	      0.000671
3.754400	     98.000000	      0.000667
3.766750	     86.000000	      0.000581
3.779100	     82.000000	      0.000550
3.791450	    112.000000	      0.000747
3.803800	     96.000000	      0.000636
3.816150	    104.000000	      0.000685
3.828500	    100.000000	      0.000654
3.840850	    140.000000	      0.000910
3.853200	    128.000000	      0.000827
3.865550	    112.000000	      0.000719
3.877900	    138.000000	      0.000880
3.890250	    126.000000	      0.000798
3.902600	    130.000000	      0.000818
3.914950	    144.000000	      0.000901
3.927300	    104.000000	      0.000646
3.939650	    114.000000	      0.000704
3.952000	    160.000000	      0.000982
3.964350	    124.000000	      0.000756
3.976700	    130.000000	      0.000788
3.989050	    122.000000	      0.000735
4.001400	    116.000000	      0.000694
4.013750	    150.000000	      0.000893
4.026100	    162.000000	      0.000958
4.038450	    192.000000	      0.001128
4.050800	    120.000000	      0.000701
4.063150	    134.000000	      0.000778
4.075500	    154.000000	      0.000889
4.087850	    146.000000	      0.000837
4.100200	    132.000000	      0.000753
4.112550	    138.000000	      0.000782
4.124900	    174.000000	      0.000980
4.137250	    158.000000	      0.000885
4.149600	    172.000000	      0.000957
4.161950	    174.000000	      0.000963
4.174300	    146.000000	      0.000803
4.186650	    130.000000	      0.000711
4.199000	    148.000000	      0.000805
4.211350	    142.000000	      0.000767
4.223700	    146.000000	      0.000784
4.236050	    128.000000	      0.000684
4.248400	    172.000000	      0.000913
4.260750	    152.000000	      0.000802
4.273100	    166.000000	      0.000871
4.285450	    156.000000	      0.000814
4.297800	    110.000000	      0.000571
4.310150	    148.000000	      0.000764
4.322500	    168.000000	      0.000862
4.334850	    188.000000	      0.000959
4.347200	    152.000000	      0.000771
4.359550	    170.000000	      0.000857
4.371900	    178.000000	      0.000892
4.384250	    182.000000	      0.000907
4.396600	    172.000000	      0.000853
4.408950	    162.000000	      0.000799
4.421300	    122.000000	      0.000598
4.433650	    164.000000	      0.000800
4.446000	    152.000000	      0.000737
4.458350	    168.000000	      0.000810
4.470700	    208.000000	      0.000997
4.483050	    178.000000	      0.000849
4.495400	    150.000000	      0.000711
4.507750	    160.000000	      0.000755
4.520100	    148.000000	      0.000694
4.532450	    178.000000	      0.000830
4.544800	    186.000000	      0.000863
4.557150	    166.000000	      0.000766
4.569500	    160.000000	      0.000734
4.581850	    166.000000	      0.000758
4.594200	    172.000000	      0.000781
4.606550	    170.000000	      0.000768
4.618900	    170.000000	      0.000764
4.631250	    170.000000	      0.000759
4.643600	    186.000000	      0.000827
4.655950	    182.000000	      0.000804
4.668300	    170.000000	      0.000747
4.680650	    186.000000	      0.000813
4.693000	    188.000000	      0.000818
4.705350	    160.000000	      0.000692
4.717700	    182.000000	      0.000784
4.730050	    196.000000	      0.000839
4.742400	    178.000000	      0.000758
4.754750	    176.000000	      0.000746
4.767100	    180.000000	      0.000759
4.779450	    210.000000	      0.000881
4.791800	    152.000000	      0.000634
4.804150	    182.000000	      0.000756
4.816500	    200.000000	      0.000826
4.828850	    198.000000	      0.000814
4.841200	    186.000000	      0.000760
4.853550	    214.000000	      0.000870
4.865900	    200.000000	      0.000809
4.878250	    196.000000	      0.000789
4.890600	    168.000000	      0.000673
4.902950	    206.000000	      0.000821
4.915300	    238.000000	      0.000944
4.927650	    182.000000	      0.000718
4.940000	    170.000000	      0.000667
4.952350	    184.000000	      0.000719
4.964700	    202.000000	      0.000785
4.977050	    212.000000	      0.000820
4.989400	    164.000000	      0.000631
5.001750	    238.000000	      0.000911
5.014100	    192.000000	      0.000732
5.026450	    200.000000	      0.000758
5.038800	    162.000000	      0.000611
5.051150	    212.000000	      0.000796
5.063500	    208.000000	      0.000777
5.075850	    186.000000	      0.000692
5.088200	    204.000000	      0.000755
5.100550	    214.000000	      0.000788
