#Cycle	Epot	P

 556	-278.629134	0.000000
 557	-278.981575	0.000000
 558	-279.069086	0.000000
 559	-278.832216	0.000000
 560	-278.409746	0.000000
 561	-278.705289	0.000000
 562	-278.564848	0.000000
 563	-278.472342	0.000000
 564	-278.348607	0.000000
 565	-278.406298	0.000000
 566	-278.514131	0.000000
 567	-278.589249	0.000000
 568	-278.831793	0.000000
 569	-278.940013	0.000000
 570	-278.917726	0.000000
 571	-278.905884	0.000000
 572	-278.539701	0.000000
 573	-278.474184	0.000000
 574	-278.751121	0.000000
 575	-278.935243	0.000000
 576	-279.048309	0.000000
 577	-278.932669	0.000000
 578	-278.824878	0.000000
 579	-278.579026	0.000000
 580	-278.423100	0.000000
 581	-278.906738	0.000000
 582	-278.840887	0.000000
 583	-278.461362	0.000000
 584	-278.545789	0.000000
 585	-278.651216	0.000000
 586	-278.832832	0.000000
 587	-278.474605	0.000000
 588	-278.227821	0.000000
 589	-278.189092	0.000000
 590	-278.168387	0.000000
 591	-278.437673	0.000000
 592	-278.626269	0.000000
 593	-278.631388	0.000000
 594	-278.547429	0.000000
 595	-278.847831	0.000000
 596	-278.643946	0.000000
 597	-278.415566	0.000000
 598	-278.678931	0.000000
 599	-278.863336	0.000000
 600	-278.799561	0.000000
 601	-279.014665	0.000000
 602	-278.921943	0.000000
 603	-279.196974	0.000000
 604	-279.550574	0.000000
 605	-278.833482	0.000000
 606	-278.609983	0.000000
 607	-278.512725	0.000000
 608	-278.654832	0.000000
 609	-279.031788	0.000000
 610	-279.148151	0.000000
 611	-279.067196	0.000000
 612	-278.853570	0.000000
 613	-278.748631	0.000000
 614	-278.608839	0.000000
 615	-277.983372	0.000000
 616	-277.635161	0.000000
 617	-277.546466	0.000000
 618	-277.897801	0.000000
 619	-277.984305	0.000000
 620	-278.396739	0.000000
 621	-278.424791	0.000000
 622	-278.351053	0.000000
 623	-278.666276	0.000000
 624	-278.772560	0.000000
 625	-278.644888	0.000000
 626	-278.722059	0.000000
 627	-278.685680	0.000000
 628	-278.851664	0.000000
 629	-278.893930	0.000000
 630	-278.864054	0.000000
 631	-279.073106	0.000000
 632	-278.970588	0.000000
 633	-279.196784	0.000000
 634	-278.888879	0.000000
 635	-278.764592	0.000000
 636	-278.280095	0.000000
 637	-278.315330	0.000000
 638	-278.571106	0.000000
 639	-278.625415	0.000000
 640	-278.982616	0.000000
 641	-278.903280	0.000000
 642	-278.923479	0.000000
 643	-279.201389	0.000000
 644	-279.056761	0.000000
 645	-279.235059	0.000000
 646	-279.297092	0.000000
 647	-279.228589	0.000000
 648	-279.024216	0.000000
 649	-278.572232	0.000000
 650	-278.175882	0.000000
 651	-278.291042	0.000000
 652	-278.583879	0.000000
 653	-278.717866	0.000000
 654	-278.785260	0.000000
 655	-279.108171	0.000000
 656	-279.395414	0.000000
 657	-279.641384	0.000000
 658	-279.366958	0.000000
 659	-279.189426	0.000000
 660	-279.387072	0.000000
 661	-279.688827	0.000000
 662	-279.785893	0.000000
 663	-279.874243	0.000000
 664	-279.717900	0.000000
 665	-279.745898	0.000000
 666	-279.534481	0.000000
 667	-279.645595	0.000000
 668	-279.640481	0.000000
 669	-279.744636	0.000000
 670	-279.215538	0.000000
 671	-278.456203	0.000000
 672	-278.682116	0.000000
 673	-278.637891	0.000000
 674	-278.815717	0.000000
 675	-279.241614	0.000000
 676	-279.425457	0.000000
 677	-279.184305	0.000000
 678	-279.058577	0.000000
 679	-279.332535	0.000000
 680	-279.590061	0.000000
 681	-279.770410	0.000000
 682	-279.973711	0.000000
 683	-279.863025	0.000000
 684	-279.774827	0.000000
 685	-279.948994	0.000000
 686	-279.834119	0.000000
 687	-279.884616	0.000000
 688	-279.720028	0.000000
 689	-279.532492	0.000000
 690	-279.610150	0.000000
 691	-279.383742	0.000000
 692	-279.093708	0.000000
 693	-279.115406	0.000000
 694	-279.204291	0.000000
 695	-279.348487	0.000000
 696	-279.001958	0.000000
 697	-279.011874	0.000000
 698	-279.298067	0.000000
 699	-279.379049	0.000000
 700	-279.049054	0.000000
 701	-279.328063	0.000000
 702	-279.242527	0.000000
 703	-279.397885	0.000000
 704	-279.392856	0.000000
 705	-279.645955	0.000000
 706	-279.196479	0.000000
 707	-278.776987	0.000000
 708	-278.619670	0.000000
 709	-278.721981	0.000000
 710	-279.036628	0.000000
 711	-279.094492	0.000000
 712	-279.271738	0.000000
 713	-279.400673	0.000000
 714	-279.605054	0.000000
 715	-279.209820	0.000000
 716	-279.031607	0.000000
 717	-278.806919	0.000000
 718	-279.138082	0.000000
 719	-279.321431	0.000000
 720	-279.398407	0.000000
 721	-279.332976	0.000000
 722	-279.488651	0.000000
 723	-279.592145	0.000000
 724	-279.329600	0.000000
 725	-279.342685	0.000000
 726	-279.451738	0.000000
 727	-279.251544	0.000000
 728	-279.504802	0.000000
 729	-279.409957	0.000000
 730	-279.584833	0.000000
 731	-279.085098	0.000000
 732	-279.410441	0.000000
 733	-279.519090	0.000000
 734	-279.570792	0.000000
 735	-279.495466	0.000000
 736	-279.272854	0.000000
 737	-279.205096	0.000000
 738	-279.289565	0.000000
 739	-278.914732	0.000000
 740	-278.505585	0.000000
 741	-278.920913	0.000000
 742	-278.980662	0.000000
 743	-279.115201	0.000000
 744	-278.616701	0.000000
 745	-278.526080	0.000000
 746	-278.631065	0.000000
 747	-278.326448	0.000000
 748	-278.376815	0.000000
 749	-279.154242	0.000000
 750	-279.340564	0.000000
 751	-279.199136	0.000000
 752	-279.120549	0.000000
 753	-279.238138	0.000000
 754	-278.838729	0.000000
 755	-278.933663	0.000000
 756	-279.143497	0.000000
 757	-279.518666	0.000000
 758	-279.200574	0.000000
 759	-279.309595	0.000000
 760	-279.451019	0.000000
 761	-279.464043	0.000000
 762	-279.115963	0.000000
 763	-279.186249	0.000000
 764	-279.306046	0.000000
 765	-279.358180	0.000000
 766	-279.148972	0.000000
 767	-279.092557	0.000000
 768	-278.924752	0.000000
 769	-279.077054	0.000000
 770	-279.114279	0.000000
 771	-279.475598	0.000000
 772	-279.998900	0.000000
 773	-279.815594	0.000000
 774	-279.477352	0.000000
 775	-279.747448	0.000000
 776	-280.161065	0.000000
 777	-279.802241	0.000000
 778	-279.505196	0.000000
 779	-279.980218	0.000000
 780	-280.146564	0.000000
 781	-279.888653	0.000000
 782	-279.921919	0.000000
 783	-279.983462	0.000000
 784	-279.717115	0.000000
 785	-279.521568	0.000000
 786	-279.332191	0.000000
 787	-279.299787	0.000000
 788	-279.246321	0.000000
 789	-279.310266	0.000000
 790	-279.461587	0.000000
 791	-279.637474	0.000000
 792	-279.996445	0.000000
 793	-279.858133	0.000000
 794	-279.733603	0.000000
 795	-279.970238	0.000000
 796	-279.681170	0.000000
 797	-279.388611	0.000000
 798	-279.542711	0.000000
 799	-279.959824	0.000000
 800	-280.182992	0.000000
 801	-280.208106	0.000000
 802	-279.928487	0.000000
 803	-279.683800	0.000000
 804	-279.908306	0.000000
 805	-280.206891	0.000000
 806	-280.096960	0.000000
 807	-280.008047	0.000000
 808	-280.010893	0.000000
 809	-279.895601	0.000000
 810	-279.700439	0.000000
 811	-279.853285	0.000000
 812	-279.970555	0.000000
 813	-279.611772	0.000000
 814	-279.460527	0.000000
 815	-279.779561	0.000000
 816	-279.939282	0.000000
 817	-279.651067	0.000000
 818	-279.776638	0.000000
 819	-279.702783	0.000000
 820	-279.479631	0.000000
